"","air_yards","qb_hit_observed","posteam","id"
"690",6,1,"SF",32
"691",16,0,"CLE",7
"692",5,0,"WAS",18
"693",3,0,"BUF",27
"694",5,1,"IND",29
"695",26,0,"HOU",15
"696",18,0,"DAL",10
"697",28,0,"NO",13
"698",13,1,"ATL",25
"699",0,0,"MIA",20
"700",35,0,"BAL",4
"701",3,0,"HOU",15
"702",1,0,"PHI",26
"703",20,0,"CLE",7
"704",17,0,"LA",6
"705",4,0,"MIA",20
"706",0,0,"PHI",26
"707",8,0,"DAL",10
"708",2,0,"IND",29
"709",3,1,"DEN",12
"710",15,0,"DET",31
"711",5,0,"PIT",28
"712",16,0,"CHI",5
"713",15,0,"DET",31
"714",1,0,"HOU",15
"715",22,0,"HOU",15
"716",24,0,"CAR",24
"717",10,0,"WAS",18
"718",6,0,"NYJ",23
"719",9,0,"BUF",27
"720",6,0,"KC",8
"721",10,0,"BUF",27
"722",1,1,"MIN",21
"723",16,0,"WAS",18
"724",8,0,"NYG",11
"725",9,0,"NYG",11
"726",6,0,"DET",31
"727",2,0,"DET",31
"728",3,0,"TB",9
"729",12,0,"NYJ",23
"730",10,0,"CHI",5
"731",7,0,"DET",31
"732",23,0,"BUF",27
"733",2,0,"MIA",20
"734",11,1,"KC",8
"735",0,0,"BUF",27
"736",3,0,"TEN",1
"737",6,1,"LV",3
"738",2,0,"TEN",1
"739",3,0,"NO",13
"740",21,0,"IND",29
"741",11,0,"JAX",16
"742",2,0,"NYJ",23
"743",3,0,"LV",3
"744",1,0,"TB",9
"745",0,0,"CHI",5
"746",11,0,"SF",32
"747",11,0,"CAR",24
"748",0,1,"HOU",15
"749",27,0,"MIN",21
"750",18,0,"NYJ",23
"751",21,0,"JAX",16
"752",32,0,"WAS",18
"753",8,0,"KC",8
"754",5,0,"NO",13
"755",10,0,"JAX",16
"756",8,0,"PHI",26
"757",0,1,"KC",8
"758",3,0,"LAC",17
"759",21,0,"ARI",2
"760",19,0,"IND",29
"761",0,0,"NYJ",23
"762",51,0,"LV",3
"763",0,0,"HOU",15
"764",1,0,"HOU",15
"765",44,1,"WAS",18
"766",4,0,"CIN",22
"767",7,0,"BUF",27
"768",19,0,"DEN",12
"769",21,1,"ATL",25
"770",21,0,"PHI",26
"771",31,0,"NO",13
"772",10,0,"CAR",24
"773",13,0,"HOU",15
"774",5,0,"GB",14
"775",10,1,"NYG",11
"776",7,0,"CAR",24
"777",11,0,"ARI",2
"778",7,0,"SF",32
"779",2,0,"PHI",26
"780",7,0,"CHI",5
"781",7,0,"TB",9
"782",6,0,"PHI",26
"783",7,0,"IND",29
"784",12,0,"LV",3
"785",7,0,"WAS",18
"786",10,0,"MIA",20
"787",5,0,"GB",14
"788",9,0,"DAL",10
"789",13,0,"PHI",26
"790",19,0,"DEN",12
"791",30,1,"NYJ",23
"792",13,0,"LA",6
"793",18,0,"LV",3
"794",11,0,"LA",6
"795",24,1,"DEN",12
"796",10,0,"NYJ",23
"797",24,1,"BUF",27
"798",16,0,"DAL",10
"799",6,0,"LV",3
"800",25,0,"NE",19
"801",10,1,"LAC",17
"802",21,0,"CAR",24
"803",29,0,"LA",6
"804",9,0,"DET",31
"805",6,0,"BUF",27
"806",12,0,"DEN",12
"807",10,0,"CAR",24
"808",0,0,"LV",3
"809",29,0,"MIN",21
"810",3,0,"IND",29
"811",6,0,"TEN",1
"812",4,0,"DAL",10
"813",4,0,"HOU",15
"814",11,0,"BUF",27
"815",7,0,"LA",6
"816",5,0,"ARI",2
"817",16,1,"MIN",21
"818",8,0,"CLE",7
"819",12,0,"WAS",18
"820",3,0,"ARI",2
"821",5,0,"IND",29
"822",8,0,"TEN",1
"823",3,0,"CLE",7
"824",2,0,"GB",14
"825",3,0,"SF",32
"826",12,0,"NE",19
"827",10,0,"PIT",28
"828",11,0,"CAR",24
"829",36,0,"HOU",15
"830",4,0,"CIN",22
"831",12,0,"HOU",15
"832",3,0,"SF",32
"833",4,0,"DET",31
"834",4,0,"DAL",10
"835",4,0,"BAL",4
"836",18,0,"NYJ",23
"837",2,0,"DEN",12
"838",5,0,"NYG",11
"839",3,0,"CIN",22
"840",39,0,"NE",19
"841",1,0,"PHI",26
"842",15,0,"LA",6
"843",7,0,"PHI",26
"844",17,0,"CIN",22
"845",11,0,"LAC",17
"846",8,0,"CIN",22
"847",8,0,"PIT",28
"848",11,0,"KC",8
"849",34,0,"PIT",28
"850",24,1,"PHI",26
"851",41,0,"DEN",12
"852",5,0,"DAL",10
"853",15,0,"DEN",12
"854",2,0,"LV",3
"855",4,0,"NE",19
"856",4,0,"KC",8
"857",9,0,"KC",8
"858",13,0,"DAL",10
"859",2,0,"LV",3
"860",3,0,"HOU",15
"861",2,1,"IND",29
"862",13,0,"DEN",12
"863",4,0,"NYG",11
"864",9,0,"IND",29
"865",17,0,"TB",9
"866",10,0,"BUF",27
"867",10,0,"DAL",10
"868",7,0,"NYG",11
"869",5,0,"ATL",25
"870",32,0,"TB",9
"871",11,0,"MIA",20
"872",11,0,"ARI",2
"873",6,1,"NE",19
"874",5,1,"TB",9
"875",2,0,"DET",31
"876",5,1,"DET",31
"877",0,0,"HOU",15
"878",7,0,"CIN",22
"879",5,0,"LA",6
"880",8,0,"CIN",22
"881",11,0,"ARI",2
"882",21,0,"LV",3
"883",14,0,"NE",19
"884",5,0,"LAC",17
"885",10,0,"KC",8
"886",24,1,"CAR",24
"887",0,0,"MIA",20
"888",7,1,"TB",9
"889",18,0,"TEN",1
"890",2,0,"LAC",17
"891",1,0,"LA",6
"892",1,0,"TB",9
"893",2,0,"BUF",27
"894",3,1,"WAS",18
"895",3,0,"NYG",11
"896",3,0,"IND",29
"897",11,0,"TB",9
"898",17,0,"CLE",7
"899",8,0,"CAR",24
"900",9,0,"WAS",18
"901",16,0,"HOU",15
"902",4,0,"LA",6
"903",10,0,"CIN",22
"904",9,0,"GB",14
"905",12,1,"ATL",25
"906",4,0,"DAL",10
"907",1,0,"TEN",1
"908",4,1,"SEA",30
"909",0,0,"CLE",7
"910",4,0,"DET",31
"911",14,0,"GB",14
"912",11,0,"LAC",17
"913",1,1,"LA",6
"914",4,0,"LV",3
"915",0,0,"IND",29
"916",2,0,"NYJ",23
"917",6,0,"DEN",12
"918",4,0,"GB",14
"919",33,0,"LA",6
"920",13,0,"NYJ",23
"921",5,0,"MIA",20
"922",5,0,"NYJ",23
"923",8,0,"DAL",10
"924",0,0,"NYG",11
"925",0,0,"CAR",24
"926",1,0,"LV",3
"927",0,0,"SEA",30
"928",12,0,"KC",8
"929",5,0,"ARI",2
"930",15,0,"HOU",15
"931",3,1,"IND",29
"932",1,0,"DEN",12
"933",6,0,"CAR",24
"934",3,0,"MIA",20
"935",10,0,"WAS",18
"936",5,0,"NE",19
"937",6,0,"ARI",2
"938",5,0,"ARI",2
"939",0,0,"PIT",28
"940",18,0,"BUF",27
"941",2,0,"JAX",16
"942",0,0,"LV",3
"943",7,0,"ARI",2
"944",26,0,"PHI",26
"945",6,0,"LA",6
"946",8,0,"LAC",17
"947",0,0,"LA",6
"948",3,0,"NYJ",23
"949",10,0,"BAL",4
"950",16,0,"LA",6
"951",39,0,"BUF",27
"952",12,0,"NE",19
"953",44,0,"IND",29
"954",7,0,"MIA",20
"955",14,0,"TB",9
"956",12,0,"MIA",20
"957",13,0,"GB",14
"958",9,0,"SF",32
"959",4,0,"DAL",10
"960",1,0,"CAR",24
"961",4,0,"DET",31
